Stadium,Capacity,City_State,Country,Region,Tenants,Sports,Image,Location
Valley Childrens Stadium,40727,"Fresno, California",United States,North America,Fresno State Bulldogs Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.7394421, -119.78483)"
Estadio Campeón Del Siglo,40700,Montevideo,Uruguay,South America,Club Atlético Peñarol,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.79792835, -56.066255237984066)"
Guaranteed Rate Field,40615,Chicago,United States,North America,Chicago White Sox,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.82969195, -87.6337919325)"
Taipei Dome,40575,"Taipei, Taiwan",Taiwan,East Asia,Tbd,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(25.042373849999997, 121.55959782779404)"
Vanderbilt Stadium,40550,"Nashville, Tennessee",United States,North America,Vanderbilt Commodores Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.1622767, -86.7742984)"
Baotou Olympic Sports Centre Stadium,40545,Baotou,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(40.62686345, 109.91447514806922)"
Baba Yara Stadium,40528,Kumasi,Ghana,Africa,"Asante Kotoko,King Faisal Babes",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(6.68217, -1.6050641735932292)"
Estádio Couto Pereira,40502,Curitiba,Brazil,South America,Coritiba Foot Ball Club,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-25.421437599999997, -49.25975668262751)"
Estadi Cornellà-El Prat,40500,Barcelona,Spain,Europe,Rcd Espanyol,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.347806899999995, 2.074801953310624)"
Nagoya Dome,40500,Nagoya,Japan,East Asia,Chunichi Dragons,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.1859833, 136.94743)"
Stamford Bridge,40343,London,United Kingdom,Europe,Chelsea Fc,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(51.481686499999995, -0.19103517666346065)"
Estadio Ciudad De Lanús  Néstor Díaz Pérez,40320,Lanús,Argentina,South America,Club Atlético Lanús,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-34.71765845, -58.38395616411901)"
Estadio Metropolitano De Cabudare,40312,Cabudare,Venezuela,South America,Unión Lara,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(9.99355075, -69.22003853194536)"
Globe Life Field,40300,Arlington,United States,North America,Texas Rangers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.74760655, -97.08410630166019)"
Lukas Enembe Stadium,40263,Jayapura,Indonesia,Southeast Asia,,"Association Football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-2.5789948000000003, 140.57348337584483)"
Mỹ Đình National Stadium,40192,Hanoi,Vietnam,Southeast Asia,"Vietnam National Football Team,Viettel Fc",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(21.02050265, 105.76392711668353)"
Miloud Hadefi Stadium,40143,Oran,Algeria,Africa,"Mc Oran,Algeria National Football Team",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.728531149999995, -0.5494977814500405)"
Estadio George Capwell,40024,Guayaquil,Ecuador,South America,Club Sport Emelec,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-2.2066923999999997, -79.89381157702763)"
Wallace Wade Stadium,40004,"Durham, North Carolina",United States,North America,Duke Blue Devils Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(35.995445849999996, -78.94188924076411)"
Osc Metalist,40003,Kharkiv,Ukraine,Europe,"Metalist 1925 Kharkiv,Shakhtar Donetsk",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(49.9923181, 36.2310146)"
Jawaharlal Nehru Stadium,40000,Kochi,India,South Asia,"Kerala Blasters Fc,India National Football Team",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(9.9674277, 76.2454436)"
"Jawaharlal Nehru Stadium, Chennai",40000,Chennai,India,South Asia,"India National Football Team,Chennaiyin Fc,Indian Bank Recreational Club",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(13.0855344, 80.27166429310648)"
Laddpeebles Stadium,40000,"Mobile, Alabama",United States,North America,South Alabama Jaguars Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(30.6913462, -88.0437509)"
Batakan Stadium,40000,Balikpapan,Indonesia,Southeast Asia,Persiba Balikpapan,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-1.2398711, 116.8593379)"
Tdecu Stadium,40000,Houston,United States,North America,"Houston Cougars Football,Houston Roughnecks",American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.72192555, -95.34827603717156)"
Hang Jebat Stadium,40000,Malacca,Malaysia,Southeast Asia,"Melaka Fc,",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(2.2885304499999997, 102.23303172084889)"
Resonac Dome Oita,40000,Ōita,Japan,East Asia,Oita Trinita,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(33.20078235, 131.65748521324446)"
Sultan Ibrahim Stadium,40000,Johor,Malaysia,Southeast Asia,Johor Darul Tazim Fc,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(1.4816406500000001, 103.62004555851132)"
Peoples Football Stadium,40000,Karachi,Pakistan,South Asia,Pakistan National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(24.8582424, 66.9875836)"
Castelão,40000,São Luís,Brazil,South America,"Moto Club,Sampaio Corrêa",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(-2.5295265, -44.2963942)"
Hong Kong Stadium,40000,Hong Konghttpsuploadwikimediaorgwikipediacommonsthumb55Bflag_Of_Hong_Kongsvg23Px-Flag_Of_Hong_Kongsvgpng,China,East Asia,"Hong Kong National Football Team,South China Aa","Association Football,Rugby Union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(22.274195, 114.1890487)"
Jrd Tata Sports Complex,40000,Jamshedpur,India,South Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(22.80602985, 86.19352970848112)"
28 March Stadium,40000,Benghazi,Libya,Africa,"Al-Ahly Benghazi,Al-Nasr Benghazi,Al Tahaddy Benghazi,Libya National Football Team",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(32.10178545, 20.072622305011002)"
Penang State Stadium,40000,Batu Kawan,Malaysia,Southeast Asia,Penang Fa,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(5.2614822, 100.43635413469647)"
Accra Sports Stadium,40000,Accra,Ghana,Africa,"Accra Hearts Of Oak,Accra Great Olympics",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(5.5515153, -0.192335142020282)"
Pratt  Whitney Stadium,40000,"East Hartford, Connecticut",United States,North America,Uconn Huskies Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(41.7596263, -72.61883156383324)"
Sarawak Stadium,40000,Kuching,Malaysia,Southeast Asia,Sarawak Fa,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(1.5885232500000002, 110.35934363025754)"
Stade Dangondjé,40000,Angondjé,Gabon,Africa,Gabon National Football Team,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(0.5218802, 9.392935904996314)"
Bogyoke Aung San Stadium,40000,Yangon,Myanmar,Southeast Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(16.7838408, 96.16062291549233)"
Vidarbha Cricket Association Ground,40000,Nagpur,India,South Asia,Vidarbha Cricket Team,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(21.1498134, 79.0820556)"
Suita City Football Stadium,40000,Suita,Japan,East Asia,Gamba Osaka,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(34.764884, 135.51735)"
Peace Stadium,40000,Bouake,Ivory Coast,Africa,"Bouaké Fc,Asc Bouaké,Alliance Bouaké",Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(7.6906058, -5.0298408)"
Wuhu Olympic Stadium,40000,"Wuhu,Anhui",China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(31.1800568, 118.2141777)"
Hauptstadion,40000,Aachen,Germany,Europe,Aachen-Laurensberger Rennvereinde,Equestrianandshow Jumping,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(50.7955364, 6.094262132366655)"
Xining Stadium,40000,Xining,China,East Asia,Local Football Teams,Association Football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(36.6503285, 101.69619418946522)"
Shaoxing China Textile City Sports Center,40000,Shaoxing,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(29.9992425, 120.576854)"
Anqing Sports Centre Stadium,40000,Anqing,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(30.54320765, 117.11052556724154)"
Monumental Stadium Of Caracas Simón Bolívar,40000,Caracas,Venezuela,South America,Leones Del Caracas,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"(10.5060934, -66.9146008)"
